,LSAT,UGPA,ZFYA,race,sex,score,label
5127,24.3,2.7,1.57,1,1,0.98769766,1.0
5128,28.0,2.2,-0.66,1,1,0.79991835,1.0
5129,33.0,3.6,0.89,1,1,0.9871242,1.0
5130,39.0,2.6,0.33,1,1,0.9374587,1.0
5131,34.0,3.4,1.73,1,0,0.999627,1.0
5132,36.0,3.6,1.1,1,1,0.9980415,1.0
5134,24.0,2.4,-1.02,0,1,0.20564117,0.0
5135,35.0,2.8,2.02,1,1,0.96029085,1.0
5136,37.0,2.4,1.66,1,1,0.9963368,1.0
5137,34.0,2.5,0.25,1,0,0.92836624,1.0
5138,36.0,2.4,0.04,1,1,0.7628382,1.0
5139,37.0,2.6,0.18,1,0,0.95929676,1.0
5140,35.0,3.3,1.52,1,1,0.9874399,1.0
5141,32.5,3.4,1.81,1,1,0.9991972,1.0
5142,33.0,3.3,0.33,1,0,0.9803483,1.0
5143,24.0,3.1,-0.66,1,0,0.7362657,1.0
5144,35.0,3.4,2.58,1,0,0.9992631,1.0
5145,34.0,3.1,-0.1,1,0,0.9250758,1.0
5147,35.0,3.0,0.39,1,0,0.91723406,1.0
5148,26.5,3.4,-0.52,1,1,0.40381277,0.0
5149,30.0,3.2,0.75,1,0,0.9607251,1.0
5150,34.0,2.3,-0.17,1,0,0.8309432,1.0
5152,30.0,3.5,0.11,1,0,0.94094455,1.0
5154,34.0,2.7,0.39,1,1,0.9532079,1.0
5155,31.5,3.0,-0.17,1,1,0.7286184,1.0
5156,37.0,3.7,0.96,1,1,0.9981876,1.0
5157,32.0,3.1,1.38,1,1,0.99751544,1.0
5158,37.0,2.9,-0.38,1,0,0.91239154,1.0
5160,34.5,2.5,0.75,1,0,0.97956926,1.0
5161,35.0,3.3,0.04,1,1,0.92625767,1.0
5162,32.0,2.5,0.61,1,0,0.94069815,1.0
5163,31.0,3.2,0.75,1,0,0.9817934,1.0
5164,34.0,2.9,-0.87,1,1,0.76084,0.0
5165,26.0,2.3,-1.58,0,0,0.098062135,0.0
5166,34.0,3.3,-0.17,1,1,0.87425303,1.0
5167,31.0,2.4,0.89,1,0,0.92806864,1.0
5168,35.0,2.9,0.11,1,0,0.9423775,1.0
5169,36.0,3.0,0.33,1,0,0.9836549,1.0
5170,35.0,2.7,-1.58,1,0,0.7727889,1.0
5171,32.0,2.7,0.25,1,0,0.9327487,1.0
5172,34.0,2.1,-0.8,1,0,0.75485253,1.0
5173,33.0,3.0,0.47,1,0,0.96292245,1.0
5174,30.0,2.9,0.61,1,1,0.87377673,1.0
5175,36.0,2.9,-0.03,1,0,0.9147967,1.0
5176,30.0,3.5,1.17,1,1,0.9988933,1.0
5177,33.0,3.3,-0.59,1,1,0.89929193,1.0
5178,29.0,3.2,0.68,1,0,0.9840223,1.0
5179,33.0,3.2,0.04,1,1,0.8328182,1.0
5180,35.0,2.9,-0.66,1,0,0.83589673,1.0
5181,33.0,2.5,-1.23,1,0,0.6450984,1.0
5182,35.0,3.3,0.11,1,0,0.974819,1.0
5183,32.0,2.9,1.1,1,1,0.95434546,1.0
5184,30.5,3.1,0.96,1,0,0.9879844,1.0
5185,32.0,3.3,-1.58,1,1,0.3604467,0.0
5186,38.0,2.6,1.75,1,0,0.9878087,1.0
5187,31.5,2.9,0.33,1,1,0.9570678,1.0
5188,34.0,2.8,-0.31,1,1,0.86745596,1.0
5189,32.0,2.6,0.11,1,0,0.9008801,1.0
5191,31.5,3.5,1.1,1,0,0.9993506,1.0
5193,32.0,3.1,2.02,1,1,0.99442685,1.0
5194,34.0,2.5,0.89,1,0,0.98036236,1.0
5195,23.0,3.1,-0.87,0,0,0.3104925,0.0
5196,24.0,3.3,-0.73,0,1,0.45910728,0.0
5197,20.0,2.5,-0.8,0,1,0.15324926,0.0
5198,35.5,2.7,1.17,1,0,0.98975474,1.0
5199,36.0,2.8,0.25,1,0,0.974026,1.0
5200,38.0,2.7,-0.17,1,0,0.92258877,1.0
5201,33.0,3.1,0.61,1,0,0.9460241,1.0
5202,41.0,2.9,-0.59,1,0,0.92084974,1.0
5203,29.0,3.4,-0.03,1,1,0.9538642,1.0
5204,33.0,3.2,-0.03,1,0,0.9540344,1.0
5208,44.0,3.6,0.46,1,0,0.99361116,1.0
5209,45.0,3.8,-0.54,1,0,0.98109746,1.0
5212,42.0,3.5,-1.84,1,1,0.9192605,1.0
5213,43.0,3.1,0.03,1,0,0.9752941,1.0
5214,45.0,3.6,0.36,1,1,0.9956311,1.0
5215,38.0,3.6,0.57,1,0,0.9712612,1.0
5216,39.0,2.4,-1.37,0,0,0.8331045,1.0
5217,38.0,3.7,0.55,1,0,0.9959086,1.0
5218,42.0,3.9,0.5,1,1,0.99682534,1.0
5219,41.0,3.8,1.75,1,1,0.9998733,1.0
5220,42.0,3.7,1.9,1,0,0.9998666,1.0
5221,40.0,3.8,0.57,1,1,0.98154837,1.0
5222,44.0,3.7,0.8,1,1,0.9989716,1.0
5223,39.0,4.0,-1.26,1,1,0.89731646,1.0
5224,44.0,3.5,-0.78,1,0,0.8414427,1.0
5225,33.0,3.5,-1.47,0,1,0.7580047,1.0
5226,41.0,3.8,0.42,1,1,0.99480444,1.0
5229,32.0,3.3,-2.76,0,1,0.39082164,0.0
5230,41.0,3.3,-0.08,1,0,0.9830421,1.0
5231,44.0,3.4,-0.62,1,1,0.98663783,1.0
5232,35.0,3.4,-2.2,0,1,0.20771283,0.0
5233,39.0,3.7,-0.31,1,0,0.9346421,1.0
5234,42.0,3.8,-0.56,1,1,0.98814374,1.0
5235,39.0,3.2,-1.3,1,1,0.7960588,1.0
5236,44.0,3.7,-0.08,1,0,0.9892896,1.0
5237,45.0,3.8,1.09,1,1,0.9957125,1.0
5238,41.0,3.4,-0.27,1,1,0.9768683,1.0
5239,46.0,2.6,-0.93,1,0,0.9242304,1.0
5240,45.0,3.4,0.17,1,0,0.98518884,1.0
5241,39.0,3.7,1.09,1,0,0.9993793,1.0
5242,42.0,3.8,0.94,1,0,0.9986767,1.0
5243,41.0,3.3,0.48,1,0,0.9932168,1.0
5244,47.0,3.5,1.44,1,0,0.99961,1.0
5245,40.0,3.7,-1.37,1,0,0.86384946,1.0
5247,46.0,3.6,0.61,1,0,0.9970637,1.0
5249,35.5,3.7,0.15,1,1,0.97446334,1.0
5250,37.0,3.9,-0.14,1,1,0.96564627,1.0
5251,44.0,3.6,-0.25,1,1,0.9949333,1.0
5252,41.0,3.6,0.01,1,0,0.9780828,1.0
5253,42.0,3.9,0.73,1,0,0.9933193,1.0
5254,47.0,3.4,1.92,1,0,0.99974304,1.0
5255,38.0,3.4,-0.64,1,0,0.9517713,1.0
5256,48.0,3.7,1.77,1,0,0.99976367,1.0
5257,48.0,3.7,0.03,1,0,0.9967494,1.0
5259,41.0,2.9,-0.64,1,1,0.8344118,1.0
5260,46.0,3.3,0.79,1,0,0.99834585,1.0
5261,41.0,3.6,-0.25,1,0,0.98135066,1.0
5262,42.0,3.5,0.55,0,1,0.9987657,1.0
5263,44.0,3.7,-0.76,1,0,0.94857913,1.0
5264,43.0,3.9,1.21,1,1,0.99870455,1.0
5265,41.0,3.5,1.19,1,1,0.9961957,1.0
5269,37.0,3.6,-0.56,1,1,0.9388062,1.0
5270,40.0,3.7,-0.6,1,1,0.9707206,1.0
5271,47.0,3.5,0.57,1,1,0.99912435,1.0
5272,39.0,3.7,-0.27,1,0,0.9416723,1.0
5273,38.0,3.5,1.21,1,0,0.99788433,1.0
5274,41.0,3.5,-0.14,1,0,0.98813045,1.0
5276,43.0,3.7,0.48,1,0,0.99499667,1.0
5277,48.0,3.3,1.02,1,0,0.9997652,1.0
5278,41.0,4.0,1.09,1,1,0.9945919,1.0
5279,41.0,3.7,-0.04,1,0,0.9851541,1.0
5280,46.0,3.4,0.63,1,0,0.997703,1.0
5281,44.0,3.8,1.21,1,0,0.9952064,1.0
5282,39.0,3.9,1.42,1,0,0.9997838,1.0
5283,42.0,3.6,1.54,1,0,0.9935202,1.0
5284,39.0,4.0,0.32,1,0,0.9945766,1.0
5285,33.0,3.2,-0.93,0,1,0.76176846,1.0
5287,43.0,3.6,-0.99,1,1,0.97153586,1.0
5288,43.5,3.0,1.36,1,0,0.99833244,1.0
5289,45.0,3.1,0.84,1,0,0.9976659,1.0
5290,39.0,3.4,1.29,1,0,0.9590005,1.0
5291,43.0,2.5,-0.74,1,0,0.86035097,1.0
5292,44.0,3.8,1.36,1,1,0.9992472,1.0
5293,40.0,3.7,0.09,1,0,0.97111547,1.0
5294,48.0,3.4,0.4,1,0,0.9964684,1.0
5295,41.0,3.2,-0.24,1,0,0.9517478,1.0
5297,47.0,3.6,0.61,1,0,0.99944633,1.0
5298,41.0,3.6,0.59,1,1,0.99425334,1.0
5299,44.0,3.6,1.13,1,1,0.99862003,1.0
5300,44.0,3.4,-1.06,1,0,0.949815,1.0
5301,48.0,3.5,0.61,1,0,0.99909437,1.0
5302,39.0,3.7,-1.1,1,1,0.7563632,1.0
5303,46.0,3.5,-0.02,1,0,0.9896147,1.0
5304,44.0,3.8,1.17,1,0,0.9920293,1.0
5305,35.0,3.5,0.69,0,0,0.9591477,1.0
5306,42.0,3.7,0.61,1,0,0.9966266,1.0
5307,44.0,3.3,1.23,1,0,0.99337864,1.0
5308,40.5,3.8,1.52,1,0,0.9979037,1.0
5309,42.0,3.8,1.73,1,0,0.99981254,1.0
5310,44.0,3.6,0.48,1,0,0.99417275,1.0
5311,46.0,3.6,1.86,1,1,0.9994704,1.0
5312,45.0,3.3,0.86,1,1,0.9967871,1.0
5314,43.0,3.6,0.32,1,1,0.9962574,1.0
5316,41.0,3.7,1.83,1,1,0.9998678,1.0
5318,39.0,3.2,-0.49,1,0,0.8347458,0.0
5319,42.0,3.6,-0.22,1,0,0.9552365,1.0
5320,40.0,3.6,-0.35,1,0,0.98441297,1.0
5321,48.0,3.1,1.48,1,0,0.9997999,1.0
5322,44.0,3.6,0.84,1,0,0.99624336,1.0
5323,45.0,3.5,0.9,1,1,0.99721515,1.0
5325,42.0,3.9,-0.18,1,1,0.9749986,1.0
5326,44.0,3.8,0.86,1,0,0.99643636,1.0
5328,38.0,3.4,-1.57,1,0,0.91342694,1.0
5329,39.0,3.6,-1.16,1,1,0.90545017,1.0
5330,48.0,3.8,0.44,1,0,0.9973706,1.0
5331,47.0,3.7,1.73,1,1,0.9998865,1.0
5332,45.0,3.6,0.5,1,1,0.9971885,1.0
5333,42.0,3.6,-0.95,1,1,0.96784693,1.0
5334,44.0,3.3,0.75,1,0,0.9982603,1.0
5335,43.0,3.7,0.0,1,0,0.9897713,1.0
5336,43.0,3.3,0.19,1,0,0.98833317,1.0
5337,33.0,3.1,-1.37,0,1,0.719532,1.0
5338,39.0,3.6,-1.06,1,0,0.96949524,1.0
5339,36.0,2.9,-0.49,1,1,0.9252485,1.0
5340,32.0,3.2,-1.03,0,1,0.7608999,1.0
5341,43.0,3.5,0.67,1,0,0.9976387,1.0
5343,37.0,3.8,-0.02,1,0,0.98719716,1.0
5344,41.0,3.3,0.44,1,0,0.9947337,1.0
5345,38.0,3.8,1.65,1,0,0.9999399,1.0
5346,37.0,3.5,-0.83,0,1,0.939988,1.0
5348,42.0,3.5,-1.64,1,1,0.94388646,1.0
5349,42.0,3.9,0.88,1,1,0.9987174,1.0
5350,41.0,3.6,-0.43,1,1,0.9837839,1.0
5352,41.0,3.9,0.8,1,0,0.9975962,1.0
5354,40.0,3.6,-0.79,1,1,0.9505429,1.0
5355,35.0,4.0,-0.37,1,1,0.9842817,1.0
5356,46.0,3.7,-1.93,1,1,0.9273559,1.0
5357,41.0,3.5,-2.24,1,0,0.8969402,1.0
5359,43.0,3.5,-0.66,1,1,0.9783004,1.0
5360,39.0,3.8,0.15,1,1,0.96130514,1.0
5362,42.0,3.9,0.17,1,1,0.9925114,1.0
5364,39.0,3.7,-0.25,1,1,0.9559653,1.0
5365,46.0,3.2,0.5,1,0,0.9969715,1.0
5366,41.0,3.6,-1.37,1,1,0.93690366,1.0
5367,42.0,3.5,0.88,0,0,0.9984438,1.0
5369,38.0,3.6,0.5,1,1,0.98874515,1.0
5370,48.0,3.4,0.27,1,1,0.9985784,1.0
5371,43.0,3.7,2.19,1,0,0.9990386,1.0
5372,40.0,3.8,-0.89,1,1,0.9121713,1.0
5375,40.0,3.7,-1.22,1,1,0.81751627,1.0
5376,35.0,3.8,-1.22,1,1,0.60103273,0.0
5377,36.0,3.6,-0.31,1,1,0.8915187,1.0
5378,38.0,3.7,-0.54,1,1,0.9849723,1.0
5379,43.0,3.4,-0.06,1,0,0.98533636,1.0
5381,42.0,3.3,-0.24,1,1,0.9807973,1.0
5382,42.0,3.7,0.34,1,0,0.9922288,1.0
5383,40.0,3.9,0.44,1,0,0.99225837,1.0
5384,44.0,3.7,0.0,1,1,0.9967891,1.0
5385,43.0,3.3,0.92,1,1,0.99607605,1.0
5386,41.0,3.4,-0.68,1,0,0.95726126,1.0
5387,41.0,3.5,0.59,1,0,0.9925122,1.0
5388,38.0,3.0,-1.3,0,1,0.8855934,1.0
5389,37.0,2.5,-1.45,0,0,0.39809442,0.0
5390,47.0,3.8,1.27,1,0,0.9986564,1.0
5391,43.0,3.7,1.13,1,0,0.9982821,1.0
5392,41.0,3.6,0.9,1,1,0.9971706,1.0
5393,47.0,3.5,1.88,1,1,0.9997782,1.0
5394,44.0,3.7,1.63,1,1,0.9999094,1.0
5395,45.0,3.6,-1.51,1,0,0.88790834,1.0
5397,41.0,3.9,0.23,1,1,0.99360126,1.0
5398,43.0,3.6,1.31,1,1,0.99750596,1.0
5400,46.0,3.6,-1.72,1,0,0.9388877,1.0
5401,36.0,3.4,0.01,0,1,0.9819505,1.0
5402,40.0,3.5,0.36,1,0,0.9769084,1.0
5404,44.0,3.5,1.07,1,0,0.9974523,1.0
5406,42.0,3.7,0.34,1,1,0.99697196,1.0
5408,36.0,3.0,0.86,0,0,0.99629945,1.0
5410,41.0,3.8,-0.04,1,0,0.9854687,1.0
5411,41.0,3.6,-0.47,1,0,0.97811353,1.0
5412,33.0,3.5,1.25,1,1,0.99915683,1.0
5413,45.0,3.2,-0.18,1,0,0.9582592,1.0
5414,44.0,3.2,1.06,1,0,0.9980732,1.0
5415,41.5,3.6,0.75,1,0,0.99814403,1.0
5416,42.0,3.8,1.71,1,1,0.9999155,1.0
5417,46.0,3.7,1.23,1,0,0.99776053,1.0
5418,48.0,3.3,-0.06,1,0,0.99745005,1.0
5419,44.0,2.2,-0.45,1,0,0.7846788,1.0
5420,45.0,3.3,1.0,1,1,0.9946296,1.0
5421,39.0,3.4,0.4,1,0,0.9648067,1.0
5422,44.0,2.7,-1.03,1,0,0.713631,1.0
5423,45.0,3.6,1.04,1,1,0.9977047,1.0
5424,39.0,3.9,0.36,1,0,0.9880854,1.0
5425,47.0,3.5,1.63,1,0,0.99963784,1.0
5426,39.0,3.4,0.54,1,0,0.9944851,1.0
5427,46.0,3.5,0.94,1,0,0.99764353,1.0
5428,40.5,3.7,0.4,1,0,0.9898769,1.0
5429,41.0,3.3,0.38,1,0,0.98378986,1.0
5430,42.0,3.2,0.82,1,0,0.9930214,1.0
5431,34.0,3.1,-0.24,0,1,0.86967325,1.0
5432,41.0,3.0,-1.22,1,1,0.8739649,1.0
5433,42.5,3.6,0.94,1,1,0.9987105,1.0
5434,40.0,3.7,0.61,1,1,0.9956731,1.0
5435,45.0,3.8,-0.89,1,1,0.95868534,1.0
5436,40.0,4.0,-0.08,1,1,0.9860345,1.0
5437,42.0,3.5,0.13,1,0,0.9769107,1.0
5438,38.0,3.8,-0.52,1,0,0.98134214,1.0
5439,39.0,3.6,0.4,1,0,0.9840852,1.0
5440,48.0,3.5,1.48,1,0,0.9993697,1.0
5441,44.0,3.9,0.44,1,0,0.99553335,1.0
5442,40.0,3.5,-0.56,1,1,0.9287042,1.0
5443,40.0,3.7,-0.83,1,1,0.9009453,1.0
5444,44.0,3.1,1.4,1,0,0.998936,1.0
5445,44.0,3.6,0.75,1,0,0.99801993,1.0
5446,42.0,2.6,-0.1,1,0,0.9493964,1.0
5448,43.0,3.5,0.52,1,0,0.99856454,1.0
5450,44.0,3.6,1.38,1,0,0.998181,1.0
5451,42.0,3.5,-0.24,1,1,0.9816743,1.0
5452,48.0,3.5,0.4,1,1,0.99378175,1.0
5453,44.0,4.0,0.4,1,0,0.9968465,1.0
5454,46.0,3.6,-0.29,1,0,0.949757,0.0
5455,45.0,3.1,-0.37,1,0,0.947895,1.0
5457,43.0,3.6,1.11,1,1,0.99756503,1.0
5458,45.0,3.9,1.58,1,1,0.9982102,1.0
5460,44.0,3.5,-0.6,1,0,0.96453655,1.0
5461,43.0,3.3,-2.2,0,1,0.9403248,1.0
5462,48.0,3.3,0.48,1,0,0.9994809,1.0
5464,45.0,3.6,-0.95,1,1,0.9643248,1.0
5465,40.0,3.4,1.0,1,0,0.9596747,1.0
5466,42.0,3.3,-0.24,1,1,0.9807973,1.0
5467,41.0,3.6,1.67,1,0,0.99958175,1.0
5468,44.0,3.6,0.07,1,1,0.9964,1.0
5469,46.0,3.4,1.85,1,0,0.99878544,1.0
5470,43.0,3.2,-0.22,1,1,0.95725006,1.0
5471,41.0,3.7,0.34,1,0,0.98880744,1.0
5472,37.0,3.5,-0.35,1,0,0.95913863,1.0
5473,35.0,3.5,-1.3,1,0,0.6365951,1.0
5474,34.0,2.6,-1.78,0,1,0.6948169,1.0
5475,46.0,3.2,0.32,1,1,0.9831286,1.0
5477,40.0,3.9,0.54,1,0,0.9964677,1.0
5478,41.0,3.1,-1.28,1,0,0.8877589,1.0
5479,39.5,4.0,0.9,1,1,0.99825746,1.0
5480,46.0,3.0,1.36,1,0,0.9989213,1.0
5481,46.0,3.7,1.92,1,1,0.9996507,1.0
5482,42.0,3.7,1.83,1,1,0.9999019,1.0
5484,45.0,3.1,0.8,1,0,0.9964135,1.0
5485,40.0,3.5,1.21,1,0,0.9974486,1.0
5486,37.5,3.7,-0.85,1,1,0.584416,0.0
5487,43.0,3.2,-1.74,1,1,0.9096836,1.0
5488,45.0,3.6,0.19,1,0,0.98841745,1.0
5489,35.5,3.5,-0.74,1,0,0.8206363,1.0
5490,34.0,3.8,0.38,1,1,0.94931257,1.0
5491,41.0,3.5,0.46,1,0,0.99509156,1.0
5492,45.0,3.4,0.96,1,0,0.9953755,1.0
5493,45.0,3.5,0.15,1,0,0.9771901,1.0
5494,47.0,3.5,-1.2,1,0,0.86925966,1.0
5495,37.0,4.0,0.21,1,0,0.9897494,1.0
5496,41.0,3.8,-0.47,1,1,0.9873422,1.0
5497,44.0,2.8,1.63,1,1,0.99819523,1.0
5498,45.0,3.0,-1.03,1,0,0.9165862,1.0
5499,42.0,3.8,0.11,1,1,0.99396604,1.0
5500,45.0,3.8,0.36,1,1,0.9922684,1.0
5501,39.0,3.9,-0.72,1,0,0.9414118,1.0
5503,44.0,4.0,1.15,1,0,0.9912378,1.0
5504,44.0,3.4,-0.12,1,0,0.98562926,1.0
5505,45.0,3.2,0.84,1,1,0.9967823,1.0
5506,44.0,3.4,-0.2,1,1,0.9870346,1.0
5508,48.0,3.5,0.77,1,0,0.9983165,1.0
5509,46.0,3.9,0.15,1,1,0.983591,1.0
5511,43.0,3.7,-0.1,1,0,0.9886615,1.0
5512,44.0,3.8,-0.99,1,0,0.93099505,1.0
5514,46.0,3.5,-1.16,1,1,0.94046646,1.0
5515,38.0,3.3,-0.95,0,1,0.9387349,1.0
5517,45.0,3.3,-1.12,1,1,0.8976235,1.0
5518,46.0,3.4,0.79,1,1,0.9977348,1.0
5519,36.0,3.6,-1.2,0,1,0.7923113,0.0
5520,42.0,3.6,-0.02,1,0,0.9898839,1.0
5521,38.0,3.5,-0.27,1,0,0.95633125,1.0
5522,40.0,3.9,0.98,1,0,0.99853265,1.0
5524,35.0,3.2,-1.1,0,1,0.77017146,1.0
5525,36.0,3.3,-0.22,0,0,0.9656813,1.0
5526,35.0,3.1,-0.08,0,1,0.88253176,1.0
5527,42.0,3.5,-1.99,1,1,0.95970154,1.0
5528,45.0,3.7,0.15,1,1,0.99583626,1.0
5529,42.0,3.4,-0.52,1,0,0.9680522,1.0
5531,46.0,3.8,0.75,1,1,0.9930293,1.0
5533,42.0,4.0,0.11,1,1,0.9946709,1.0
5534,43.0,3.1,0.27,1,0,0.9704716,1.0
5535,41.5,3.8,1.13,1,0,0.99830294,1.0
5536,40.0,3.8,-0.41,1,0,0.9694586,1.0
5537,48.0,3.8,1.21,1,0,0.9986172,1.0
5540,44.0,3.1,0.32,1,0,0.9631834,1.0
5541,48.0,3.3,1.15,1,0,0.9982121,1.0
5543,39.0,3.8,-0.14,1,1,0.96648985,1.0
5544,44.0,3.7,1.21,1,0,0.997586,1.0
5545,41.0,3.4,-0.95,1,0,0.7871282,1.0
5546,45.0,3.7,-0.47,1,0,0.9819589,1.0
5547,45.0,3.9,-0.18,1,0,0.95990413,0.0
5548,41.0,3.6,-0.68,1,1,0.9815554,1.0
5549,39.0,3.8,1.25,1,1,0.99945647,1.0
5550,40.0,3.7,-0.04,1,0,0.96378297,1.0
5551,36.0,3.3,-0.84,1,0,0.86423445,1.0
5552,30.0,3.1,0.75,1,0,0.95935196,1.0
5553,34.0,3.6,0.61,1,1,0.9880043,1.0
5554,35.0,3.1,0.14,1,1,0.93793684,1.0
5555,36.0,3.0,0.61,1,0,0.9684114,1.0
5557,37.0,3.0,0.88,1,0,0.9924643,1.0
5558,33.0,3.3,1.51,1,1,0.97312284,1.0
5559,37.0,3.0,1.07,1,0,0.9963043,1.0
5560,32.0,3.3,1.78,1,0,0.9993031,1.0
5561,35.0,3.4,1.1,1,1,0.9916786,1.0
5562,35.0,2.7,0.88,1,1,0.9556448,1.0
5563,33.0,3.0,0.07,1,1,0.90534663,1.0
5564,29.5,3.1,-1.28,1,1,0.73729277,1.0
5565,23.0,3.1,-0.47,1,0,0.5495222,0.0
5566,36.0,2.9,1.34,1,1,0.95727473,1.0
5567,33.0,3.1,1.19,1,0,0.9950565,1.0
5568,37.0,3.1,-0.59,1,1,0.9221086,1.0
5569,33.0,3.6,2.39,1,0,0.99985504,1.0
5571,36.5,2.4,1.15,1,0,0.9863516,1.0
5574,32.0,3.0,-0.42,1,1,0.58459145,1.0
5575,30.0,3.2,-0.05,1,1,0.81716186,1.0
5576,36.0,3.1,0.61,1,1,0.962936,1.0
5577,37.0,3.1,-0.86,1,1,0.8395456,0.0
5578,31.0,3.3,-0.2,1,0,0.92676246,1.0
5580,34.0,2.6,0.39,1,0,0.95720965,1.0
5581,32.0,2.3,2.32,1,0,0.99301577,1.0
5582,39.0,2.5,1.15,1,1,0.9365433,1.0
5583,38.0,2.9,0.9,1,0,0.983307,1.0
5584,37.0,3.1,2.0,1,0,0.9987845,1.0
5585,35.5,2.3,-0.3,1,0,0.7997378,1.0
5586,32.5,3.2,1.41,1,0,0.9978806,1.0
5587,36.0,2.5,0.41,1,1,0.9456638,1.0
5589,39.0,2.1,-1.84,1,1,0.041167587,0.0
5590,35.0,2.3,-0.64,1,0,0.6843721,1.0
5591,35.0,2.9,-0.86,1,1,0.8454185,1.0
5592,35.0,3.3,1.76,1,0,0.99672085,1.0
5593,40.0,2.5,0.29,1,0,0.9526357,1.0
5594,37.0,2.7,1.49,1,1,0.99793196,1.0
5595,34.0,2.9,-0.59,1,0,0.8680907,1.0
5596,37.0,3.0,0.39,1,0,0.97723037,1.0
5597,36.0,2.7,0.29,1,0,0.9768958,1.0
5598,41.0,2.6,-0.64,1,1,0.8002827,0.0
5599,32.0,3.1,-0.37,1,0,0.8430532,1.0
5600,42.0,3.6,1.51,1,0,0.96240085,0.0
5601,40.0,2.5,0.09,1,0,0.90737045,1.0
5602,39.0,3.0,0.02,1,0,0.93357426,1.0
5603,37.0,2.9,-0.32,1,0,0.90594894,1.0
5604,36.0,2.3,-0.1,1,0,0.86193186,1.0
5605,37.0,2.9,1.51,1,1,0.9879502,1.0
5607,34.0,3.3,0.12,1,0,0.9751516,1.0
5608,39.0,2.9,2.03,1,0,0.9990761,1.0
5609,36.5,3.0,0.7,1,1,0.9862781,1.0
5610,34.0,3.3,-0.47,1,1,0.8707464,0.0
5611,36.0,2.7,0.07,1,0,0.93410736,1.0
5612,35.5,3.1,0.24,1,1,0.9235472,1.0
5613,31.0,3.2,0.24,1,0,0.9443378,1.0
5615,33.5,3.4,-1.06,1,1,0.8600211,1.0
5616,39.0,2.8,-0.42,1,0,0.93460155,1.0
5617,38.0,3.1,1.56,1,1,0.9923431,1.0
5618,38.0,2.4,0.88,1,0,0.95422757,1.0
5620,37.0,2.6,-0.15,1,0,0.9233776,1.0
5621,34.0,3.1,0.07,1,0,0.9614411,1.0
5622,38.0,3.7,1.34,1,0,0.9983896,1.0
5623,37.0,2.6,0.36,1,0,0.9798406,1.0
5624,35.0,3.3,-0.01,1,1,0.9212567,1.0
5625,35.0,2.5,-1.23,1,0,0.5994833,0.0
5626,31.0,3.5,-0.37,1,0,0.92584884,1.0
5627,33.5,2.4,-0.37,1,1,0.817347,1.0
5628,35.0,3.0,0.17,1,1,0.9599797,1.0
5629,38.0,2.5,1.76,1,0,0.988526,1.0
5632,36.0,2.5,-1.5,1,0,0.36566246,0.0
5633,32.0,3.7,1.07,1,0,0.99955493,1.0
5634,35.0,3.0,-0.72,1,0,0.5795564,0.0
5635,30.0,3.1,-1.4,1,1,0.49576128,0.0
5637,35.0,3.0,0.88,1,0,0.9897371,1.0
5638,34.0,3.5,1.07,1,1,0.99869126,1.0
5639,35.0,2.5,0.53,1,0,0.9533312,1.0
5640,40.0,2.7,1.34,1,1,0.9843432,1.0
5641,36.0,2.5,0.07,1,0,0.89838123,1.0
5643,36.0,2.6,0.39,1,0,0.97396266,1.0
5644,31.0,3.0,-0.54,1,0,0.793191,1.0
5645,39.0,3.8,0.7,1,1,0.98800313,1.0
5646,34.0,3.2,0.44,1,0,0.9659316,1.0
5648,35.0,3.4,1.02,1,0,0.99431604,1.0
5649,36.0,2.5,-1.3,1,0,0.61688274,1.0
5651,36.0,3.2,2.0,1,1,0.99810284,1.0
5652,28.0,3.6,-0.57,1,1,0.7753344,1.0
5653,31.0,3.2,-1.18,1,0,0.48027307,0.0
5655,37.0,3.7,0.51,1,1,0.9841373,1.0
5657,37.0,2.6,-1.5,1,0,0.6175516,0.0
5659,33.0,3.5,-0.45,1,1,0.89702237,1.0
5661,24.0,3.1,-1.55,0,1,0.21723711,0.0
5662,25.0,3.2,-1.6,0,1,0.20417112,0.0
5663,45.0,2.2,-0.81,1,0,0.84120035,1.0
5664,34.0,3.0,0.61,1,1,0.97052675,1.0
5665,31.5,3.2,0.04,1,0,0.94697666,1.0
5666,32.0,3.1,0.12,1,1,0.8923992,1.0
5667,42.0,2.7,0.68,1,0,0.9931514,1.0
5669,39.0,2.7,-0.84,1,0,0.75070953,0.0
5671,40.0,3.1,1.44,1,1,0.99862134,1.0
5672,33.0,3.1,0.56,1,0,0.9678278,1.0
5673,35.0,2.6,0.17,1,0,0.93717027,1.0
5674,38.0,2.9,-0.79,1,0,0.8700363,1.0
5677,38.0,2.8,-0.91,1,1,0.8322323,1.0
5679,34.0,3.3,1.02,1,0,0.99627894,1.0
5680,36.0,2.9,-1.77,1,0,0.5323534,0.0
5681,40.0,2.5,1.59,1,0,0.98433256,1.0
5682,37.0,3.2,0.44,1,0,0.98059523,1.0
5683,31.0,3.6,1.27,1,1,0.9991048,1.0
5684,40.0,3.4,1.05,1,1,0.99302715,1.0
5685,39.0,3.4,0.34,1,1,0.96665436,1.0
5686,39.0,2.9,0.02,1,1,0.87617886,0.0
5688,34.0,3.1,-0.08,1,1,0.8319613,1.0
5690,40.0,3.2,0.56,1,1,0.9662121,1.0
5691,36.0,2.9,0.63,1,0,0.97414654,1.0
